Samples	input	both_kept	fwd_only	rev_only	dropped	EquCab3.0	canFam6	human_GRch38	phix174	host	nonhost	komplexity
HS3.D0	12791726	12251179	183255	43973	313319	296830	243065	510795	0	703332	11394646	198528
HS3.D10	11919371	11502835	99643	79366	237527	109239	114549	414273	0	495731	10855716	192272
HS3.D3	14218080	13677728	212355	56556	271441	111088	122292	138913	0	288937	13210179	223341
HS3.D30	10124547	9640426	171848	37739	274534	116142	156438	329033	0	458554	9069465	147020
HS3.D90	6332673	6072347	98439	26948	134939	68009	95545	213311	0	274654	5706300	118169
HS33.D0	7334185	7049468	90105	33576	161036	81983	70736	246204	0	298363	6533826	292441
HS33.D10	11708343	11204268	183826	47821	272428	268465	235716	411842	0	586953	10299219	436434
HS33.D3	7276745	6989603	108645	33904	144593	86673	79959	120566	0	209887	6533785	354394
HS33.D30	10385998	9915243	175839	35407	259509	114764	111454	381953	0	465805	9210021	335671
HS33.D90	8506687	8163874	113412	34189	195212	80390	77794	306956	0	364455	7681444	153611
HS35.D0	8638786	8317391	52272	75722	193401	90440	88193	308631	0	371820	7730824	296661
HS35.D10	13084957	12520621	195540	55056	313740	133344	131349	439428	0	538762	11736064	334501
HS35.D3	9735827	9321734	114955	48300	250838	103174	104206	375803	0	447852	8684853	256695
HS35.D30	9135366	8763270	93730	47673	230693	102997	103797	216052	0	323838	8284436	211883
HS35.D90	10163614	9713186	122649	60131	267648	106891	107796	367978	0	444441	9002163	376931
HS42.D0	9012160	8619612	146376	35290	210882	90318	91599	168171	0	269927	8213552	171928
HS42.D10	5012371	4827239	49732	19246	116154	54341	52918	59480	0	127333	4640497	76255
HS42.D3	6033830	5721544	104411	26716	181159	80111	76648	299235	0	354292	5303293	83388
HS42.D30	9942162	9535087	121757	38352	246966	104364	101428	242031	0	345521	9050841	174110
HS42.D90	10113907	9666290	146385	45484	255748	96339	92798	136530	0	251201	9294630	151057
HS47.D0	2412313	2294759	31240	11181	75133	30278	28895	39082	0	74474	2169038	69624
HS47.D10	17895310	17273113	180057	63461	378679	302412	195533	634567	0	819552	16241987	275781
HS47.D3	1548188	1479443	27713	6438	34594	14118	13575	15274	0	33211	1426390	25750
HS47.D30	9774195	9389753	137037	35914	211491	94801	91915	116494	0	231542	8993035	218543
HS47.D90	2132288	2049724	22732	11861	47971	20461	20113	22679	0	48449	1966349	45162
