Samples	1	2	3	4	5	6	7	8	9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85-89	90-94	95-99	100-104	105-109	110-114	115-119	120-124	125-129	130-134	135-139	140-144	145-149	150-151	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
Dusty.A_1	36.05291575117575	36.189352881013605	36.28582438276285	36.17201635999738	36.34752884670192	36.450616188568006	36.372363305511016	36.393681203748216	36.37286232199684	36.35853521453945	36.33749736779559	36.29863800763366	36.24489367399813	36.21684744184146	36.20748499309271	36.19015692548823	36.16783914203542	36.13764919581897	36.11680551178671	36.1184514637697	36.09705123072747	36.06458129297541	36.06936544867824	36.06034520837433	36.05973492094314	36.04250326071927	36.025154886161786	36.04967251710168	36.04175559971967	36.02110215164228	36.00116540743621	35.987618620268535	35.967234119330456	35.904951034920025	35.92790865453828	35.85441516134621	35.823203932390975	36.008356383585564																																																																		
Dusty.A_2	35.6410847585954	36.14027934168541	36.148593128413935	36.17735798732885	36.22211976610753	36.30033457764815	36.19492465818984	36.21678846325507	36.26783957050167	36.2083896716493	36.17070583946081	36.13333501106117	36.09430589925675	36.0621887680423	36.027849245086614	36.00766364670807	35.98126715801375	35.95741290319734	35.91691898428756	35.89042201429193	35.85895125713442	35.84289765992647	35.80677100910599	35.78108346287255	35.76498706967868	35.73030050991829	35.72039709350954	35.67951928134272	35.67231106929644	35.63640396383539	35.634735985501905	35.60299569022156	35.542673792595444	35.4815294102841	35.45888201727685	35.37996266679766	35.294154811742125	35.61601693394357																																																																		
HS55.D30_1	36.02524345532664	36.1398602213615	36.25385703942538	36.12733183348999	36.30091419834205	36.42394596065661	36.330688671820766	36.36600771295428	36.33915918125156	36.32808290699983	36.30629326933202	36.26836345390353	36.215827504793246	36.1910725243026	36.1720652473558	36.16365564509599	36.139147809151744	36.11608201956388	36.091231332775656	36.09723716782905	36.07529183477215	36.04908060774858	36.05821345002378	36.04709396423132	36.05563808139787	36.03189286528079	36.025948341067334	36.04534595102743	36.04957828580028	36.02465250983472	36.01623461301095	35.99740991655875	35.98995753824214	35.92492274248242	35.952377417947524	35.883704374135355	35.848111121348374	36.027944317048664																																																																		
HS55.D30_2	35.84846402369543	36.13327715906797	36.12457846298295	36.147611206745495	36.15279672801603	36.27264931453016	36.16402428838376	36.20202677185608	36.272215841674445	36.19612761522659	36.154059851560085	36.12054479359229	36.0926371159497	36.06576490681458	36.04007611780646	36.023196617202906	36.004303170797215	35.982713024102594	35.946979836191154	35.92561541848936	35.90288589381859	35.889923493399806	35.86334119823967	35.83968639255595	35.82950674243786	35.79905880778156	35.794483208077374	35.762691082996554	35.76352994003636	35.73587141795424	35.741374331569816	35.716369603418066	35.66235767282731	35.60902388597588	35.59445891625366	35.51881301758234	35.43428941435497	35.71015734496008																																																																		
TalkOfTheDown.A_1	35.99196277583122	36.19704923197316	36.305148629133846	36.21469109720256	36.407761571573324	36.50152632341041	36.42841139704373	36.45728322279944	36.43274046108786	36.43162387479233	36.41466104733614	36.38190352109599	36.33592005579132	36.31072483697452	36.29424142039122	36.27848350100119	36.26152291142305	36.23325317786741	36.22123037728694	36.217121825759136	36.20421394594992	36.17592964825471	36.1860002644684	36.17394538348087	36.1800974908127	36.16239063286159	36.15110005826458	36.17115193448035	36.1691486827644	36.15357675035119	36.13620828998523	36.1252883246208	36.110046705222416	36.05674334387767	36.07527813724759	36.016218456657384	35.973820521647475	36.118393002282936																																																																		
TalkOfTheDown.A_2	35.737857041436186	36.06988658942524	36.06863800838935	36.094979136488426	36.1063997377286	36.22202366108971	36.10035903725779	36.13282710018871	36.21451532448198	36.13851599089848	36.09878801900757	36.06675859491846	36.03788733084251	36.01989114481319	35.99443529933719	35.98881332941317	35.965074634900006	35.95314097298319	35.9139503008239	35.90385268338679	35.87351176254193	35.86922990971326	35.84138675925339	35.822686534353515	35.81674433880951	35.78768864098109	35.78658375782267	35.754362799491595	35.75866707359005	35.72916464454732	35.739090754902826	35.71382648354901	35.66519865598804	35.616711516879164	35.605613179088635	35.53535487041104	35.46367551096963	35.74501814336983																																																																		
WhosCozy.A_1	36.0347012899015	36.19525928526342	36.291710436907806	36.1748733713031	36.357789608251714	36.45639500309601	36.37544423361486	36.4057077544196	36.38173105187698	36.37204555503221	36.35319212647936	36.31882459544544	36.26937069347776	36.245198482793455	36.23354805614523	36.21956032301048	36.20263666517136	36.17489806411804	36.15993798655174	36.15994866714867	36.14659968844212	36.11895622121248	36.12869499543505	36.1201379779805	36.12487265123631	36.10947340709915	36.09728407521688	36.12073198649191	36.11727551646631	36.10118825999666	36.086143377239246	36.07551011445309	36.05991779736512	36.00317142240936	36.02432993049909	35.961352851309094	35.92335142965363	36.075006750168114																																																																		
WhosCozy.A_2	35.68306385172757	36.10162182077305	36.083704031026826	36.1021490437871	36.131820444729925	36.22734528329582	36.10847597545519	36.14200158486278	36.20615058598149	36.14171542553361	36.10086536369637	36.06746934358499	36.035246832222604	36.013597550373945	35.98591220199286	35.97258347645474	35.95127571927864	35.93519890903208	35.89675921561495	35.88015448232617	35.85193247345801	35.844547526547714	35.81607422234075	35.79412766539575	35.78649696610449	35.75718001890751	35.75764929989447	35.72322430591713	35.72931664859474	35.70234339943981	35.710622070463	35.68705374113906	35.637047554499645	35.585089077037615	35.57582311217326	35.506445167034805	35.41894106740433	35.699985097927325																																																																		
BridledAssurance.D_1	36.00850297122442	36.02939246016931	36.15057407786168	36.03135430197116	36.17050627803443	36.33805666440567	36.24691889087668	36.27481099220336	36.26521015855189	36.241153645504376	36.21883221835637	36.17850864199754	36.122495695342096	36.09994214817364	36.0817919646971	36.07055699475863	36.041826564519184	36.01306350326888	35.99019695793433	35.99199585142901	35.96710174979925	35.93517923260991	35.944018203622214	35.93107381030411	35.940084678471344	35.91608893099438	35.90479248794967	35.93546848992183	35.92889680973778	35.9053437861068	35.889986876203885	35.874726589978664	35.861093378424435	35.796001306524246	35.8276611595489	35.75396305070989	35.71507255208344	35.92372679281257																																																																		
BridledAssurance.D_2	35.50685026955163	36.13200541400817	36.12082028994559	36.15229584724417	36.1693863777095	36.29268457138024	36.18374233327322	36.21592497886941	36.28740635417303	36.21939961451496	36.18160722670498	36.14751720573709	36.1179265170209	36.09455527944102	36.06619003484789	36.05410117095889	36.02728124302611	36.01277932456094	35.9677763352504	35.952707707642375	35.9173588041876	35.90904061863819	35.874591109149364	35.85305798538825	35.84026817741572	35.80454118727064	35.79855010928898	35.75776834435853	35.75729046484219	35.723743040330966	35.72889397716399	35.698579170255215	35.64269209838924	35.58508924079752	35.56795654259979	35.489850011295324	35.40493398752547	35.6787477050371																																																																		
Tango.D_1	36.0156609548197	36.20235317717834	36.305794426126	36.19889066227024	36.381756875263086	36.48686706363126	36.409150940087	36.438612626280346	36.41648287322857	36.40691904465413	36.38812285148028	36.35391635681212	36.30402165620177	36.28337580679107	36.27251879771853	36.26633946962521	36.24315014874039	36.22353805909093	36.20242644050262	36.20978779864294	36.19001575001706	36.1670816147007	36.17277199186693	36.16503812154789	36.166334891483686	36.14922211417062	36.13614250471811	36.15579562273278	36.15249339689584	36.13357747977578	36.12081335230796	36.10550834411747	36.09235053594964	36.03314692008448	36.05482012998611	35.987852428583324	35.95638142031027	36.10327337420283																																																																		
Tango.D_2	35.78943322926898	35.92013974147608	35.940908911533604	35.97879761821243	35.98572418268556	36.13279781114073	36.00098349586081	36.03781855093308	36.12273199628174	36.03369334923531	35.98886233688789	35.95330074014312	35.9187450890978	35.891082766241055	35.865489051094364	35.85347824826606	35.83099365513182	35.811124577528446	35.77221244177389	35.75064144874183	35.725677560298394	35.713753645013085	35.68307144626065	35.6605499747176	35.65090217415394	35.61898406585722	35.61381329781568	35.581814222141425	35.583227611148146	35.559551721269514	35.56302630528654	35.54164531114073	35.48247468747046	35.433286623199145	35.4182065250622	35.34794289931502	35.25756549266145	35.59919969776772																																																																		
Poppi.D_1	36.01453513416942	36.16651219355149	36.27408110412909	36.14975851106055	36.336687228821845	36.45408362225247	36.37002372114549	36.402000411726775	36.37357947460399	36.36590598482053	36.34372777181751	36.30756733863983	36.25713275830641	36.23599865962076	36.22849075384242	36.21643631462173	36.196343702475495	36.17030988548253	36.152661752475616	36.15523007507159	36.13784123229476	36.11114412827196	36.11535583131998	36.10667803919896	36.10816973496738	36.08816785014627	36.07326626657404	36.09656082380009	36.09228660476087	36.07488138647045	36.059919255902926	36.04499823312714	36.02894946317687	35.96840557726551	35.98919321780611	35.922022448881364	35.886134749428344	36.05221703509536																																																																		
Poppi.D_2	35.79907279855406	36.0593612068129	36.048296125264095	36.05892635441332	36.05390673390933	36.217264773872216	36.09500051239125	36.12998066214251	36.215396737443164	36.13117207005159	36.08764716889473	36.0515656651307	36.020170621752776	35.998200433552526	35.97116492498075	35.961634099530635	35.93679213725282	35.92127967638904	35.88196986323546	35.866694234601994	35.839055369417856	35.83099288061992	35.79904529556135	35.77912042539269	35.76726765930439	35.73601869709755	35.73271802240876	35.69752862260908	35.69948958106212	35.67259504530868	35.677559719320044	35.650834693836	35.59743856895669	35.54078320584352	35.52613105460095	35.45067546825706	35.36539239674468	35.66401969817067																																																																		
Imani.D_1	35.98634155434895	35.9412717183687	36.07208285402961	35.94798903780289	36.073790870986365	36.2651313096883	36.17424292817306	36.20336294076694	36.194256836165984	36.175240317951946	36.14732165464744	36.10519289990594	36.04531718853703	36.019225598727175	36.01017867086824	35.996178974458296	35.9733801650062	35.94247276247507	35.92512664821083	35.92699554071079	35.90615525485127	35.87377445946286	35.88748521782689	35.87809711138728	35.88432279867115	35.867213453445274	35.85377978779337	35.89254978653151	35.88229288124924	35.86634852960386	35.846478184530625	35.83984948143396	35.82473752488441	35.76307926224375	35.796635086661354	35.7259928950374	35.696058569205555	35.911229270480426																																																																		
Imani.D_2	35.850640674010656	36.25595949910091	36.24263757648143	36.24904831313766	36.24218142791166	36.35953922898022	36.265811739207656	36.28886708925325	36.3689949300719	36.29651065988183	36.25840237993857	36.2242071421188	36.19788182866399	36.17592091004281	36.15220998511303	36.13885778245178	36.11516869846385	36.096734856070114	36.056821608879645	36.04091016891639	36.01144055929869	36.003029477615044	35.970628998185724	35.94871975654748	35.93688628481841	35.906575020395145	35.89868834681804	35.8641510041508	35.86247770287479	35.83037009518499	35.831611706602864	35.8046446700892	35.749943141519104	35.6963176773599	35.68052042341316	35.60545299611649	35.522314620155754	35.76888739025034																																																																		
Tako.A_1	36.03085523821248	36.095343941299454	36.1946746564548	36.07289609302113	36.23534685341656	36.37589927422083	36.28332872465077	36.313682245625365	36.29175080534171	36.27610407080871	36.25399541164895	36.21623882781894	36.16100057814637	36.13699272026512	36.12487676179562	36.11170875079655	36.09229813028245	36.06432098129632	36.04713228055991	36.047856886214205	36.03123558808058	36.00113573459406	36.01354291618945	36.003109609235025	36.008218384300235	35.99320610269009	35.97999180963238	36.00944011155673	36.00305580637348	35.98842596554586	35.97147408490076	35.96130617646059	35.94502777801747	35.88589341933367	35.91269081687415	35.846450703516055	35.81046428288505	35.994883482353714																																																																		
Tako.A_2	35.87757932032377	36.03428506502333	36.049519565763546	36.07128977964051	36.04936224449473	36.22080523571133	36.10559734569638	36.13979073295905	36.22746070640969	36.14171719326211	36.10473449618422	36.07353393220792	36.04570026653496	36.02130297342777	35.99482917595544	35.98343333630957	35.96454483577751	35.94359402268425	35.907059049162974	35.88870010445041	35.863980189577404	35.85273480135315	35.824862967288865	35.804149529948106	35.793211481379224	35.767041659492634	35.76176058876834	35.72912361126885	35.727533883660456	35.70347441672724	35.70784884225775	35.685010581251255	35.633791634184966	35.583509897658395	35.56877064168096	35.50067433896963	35.41648183249253	35.695495614827735																																																																		
MsMacAndCheese.A_1	35.894439347165154	35.7800967514335	35.956407302043495	35.84149157141475	35.96843217486193	36.199800593555146	36.09559131946613	36.12461946891862	36.12367402295539	36.103138537788254	36.077611084750295	36.03595545913667	35.96885917066103	35.93809498695263	35.91504739328024	35.90170514162189	35.86938289715798	35.835862500105506	35.81226117407032	35.81591976176304	35.78716505051676	35.749671265517215	35.76478467684469	35.752908051728795	35.7617006136887	35.73980632155087	35.72866522943404	35.76669683251266	35.75374478107526	35.72926668434925	35.7095999209504	35.70054914152452	35.685627364747475	35.6162670838886	35.657510510397074	35.582180403721914	35.54107045812097	35.79595958205857																																																																		
